original_fullcell,frequency,tokens_parsed,chosen_main_token,canonical_plural
"['basket; maritime', 'baskets (containers)']",1,basket; maritime; baskets,baskets,baskets
['bassoon'],2,bassoon,bassoon,bassoons
"['battery; electrochemical devices', 'battery']",3,battery; electrochemical devices; battery,battery,batteries
"['battery', 'voltaic pile']",1,battery; voltaic pile,battery,batteries
"['bayonets', 'bayonet, socket']",5,"bayonets; bayonet, socket",bayonets,bayonets
"['bayonet; edged weapons; socket', 'bayonets', 'bayonet, socket']",3,"bayonet; edged weapons; socket; bayonets; bayonet, socket",bayonets,bayonets
"['bayonet; edged weapons; army; socket', 'bayonets', 'bayonet, socket']",1,"bayonet; edged weapons; army; socket; bayonets; bayonet, socket",bayonets,bayonets
"['beads, prayer']",1,"beads, prayer","beads, prayer","beads, prayers"
['beakers (vessels)'],4,beakers,beakers,beakers
['beam balance'],2,beam balance,beam balance,beam balances
"['bed cover, applique', 'counterpane, embroidered']",1,"bed cover, applique; counterpane, embroidered","bed cover, applique","bed cover, appliques"
['bed coverings'],10,bed coverings,bed coverings,bed coverings
"['bed coverings', 'coverlet']",8,bed coverings; coverlet,bed coverings,bed coverings
"['bed coverings', 'coverlets']",2,bed coverings; coverlets,bed coverings,bed coverings
"['bed coverings', 'coverlets', 'rose of sharon']",1,bed coverings; coverlets; rose of sharon,bed coverings,bed coverings
"['bed coverings', 'coverlets', 'coverlet', 'coverlet']",1,bed coverings; coverlets; coverlet; coverlet,bed coverings,bed coverings
"['bed coverings', 'pine bloom', 'coverlet']",1,bed coverings; pine bloom; coverlet,bed coverings,bed coverings
"['bed hanging, hosptial', 'bed hanging, hosptial; bed hanging; coverlet; t15059']",1,"bed hanging, hosptial; bed hanging, hosptial; bed hanging; coverlet; t15059","bed hanging, hosptial","bed hanging, hosptials"
"['bed valance, printed']",3,"bed valance, printed","bed valance, printed","bed valance, printeds"
"['bedwarmer', 'bed warmer']",1,bedwarmer; bed warmer,bed warmer,bed warmers
"['bed warmer', 'bed warmer']",1,bed warmer; bed warmer,bed warmer,bed warmers
"['bedstead', 'bedstead; furniture; cradle']",1,bedstead; bedstead; furniture; cradle,bedstead,bedsteads
"['beetle', 'beetle; woodworking; striking & prizing tools; hand tools']",1,beetle; beetle; woodworking; striking & prizing tools; hand tools,beetle,beetles
"['bell, cow']",3,"bell, cow","bell, cow","bell, cows"
['bellows'],2,bellows,bellows,bellows
['bells (idiophones)'],4,bells,bells,bells
"['bells, goat, pair of']",1,"bells, goat, pair of","bells, goat, pair of","bells, goat, pair oves"
['belts (costume accessories)'],3,belts,belts,belts
['bill of exchange'],19,bill of exchange,bill of exchange,bill of exchanges
['bill of sale'],1,bill of sale,bill of sale,bill of sales
"['bit; equipment, horse; army', 'bit']",1,"bit; equipment, horse; army; bit","bit; equipment, horse; army","bit; equipment, horse; armies"
['blankets (coverings)'],1,blankets,blankets,blankets
"['block', 'block, cut']",1,"block; block, cut",block,blocks
"['bloodletting', 'lancet, set', 'lancet, set', 'lancet, set; bloodletting instruments; thumb']",1,"bloodletting; lancet, set; lancet, set; lancet, set; bloodletting instruments; thumb",bloodletting,bloodlettings
"['lancet; bloodletting instruments; spring', 'lancet', 'spring lancet', 'bloodletting', 'spring lancet, set']",1,"lancet; bloodletting instruments; spring; lancet; spring lancet; bloodletting; spring lancet, set",bloodletting,bloodlettings
"['scarificator', 'bloodletting', 'scarificator']",1,scarificator; bloodletting; scarificator,bloodletting,bloodlettings
"['bloodletting', 'lancet, set']",1,"bloodletting; lancet, set",bloodletting,bloodlettings
"['blunderbuss', 'blunderbuss, flintlock']",1,"blunderbuss; blunderbuss, flintlock",blunderbuss,blunderbuss
"['blunderbuss', 'blunderbuss; firearms; flintlock; 1.75 in; smooth bore; muzzle load; sa']",1,blunderbuss; blunderbuss; firearms; flintlock; 1.75 in; smooth bore; muzzle load; sa,blunderbuss,blunderbuss
"['blunderbuss; firearms; flintlock; .80 in; smooth bore; muzzle load; sa', 'blunderbuss']",1,blunderbuss; firearms; flintlock; .80 in; smooth bore; muzzle load; sa; blunderbuss,blunderbuss,blunderbuss
"['boiler, steam, model', 'boiler, steam']",1,"boiler, steam, model; boiler, steam","boiler, steam, model","boiler, steam, models"
['bolts (fasteners)'],1,bolts,bolts,bolts
['bond'],3,bond,bond,bonds
"['bonnets (hats)', 'bonnet; headwear; accessories worn on the body; female']",1,bonnets; bonnet; headwear; accessories worn on the body; female,bonnets,bonnets
['book pages'],2,book pages,book pages,book pages
['book with box'],1,book with box,book with box,book with boxes
['booklets'],2,booklets,booklets,booklets
"['booklets', 'booklet; documents']",1,booklets; booklet; documents,booklets,booklets
['books'],71,books,books,books
"['book; documents', 'books']",3,book; documents; books,books,books
"['book; bookbinding', 'books']",2,book; bookbinding; books,books,books
"['maps', 'books']",1,maps; books,books,books
"['book; relief', 'books']",1,book; relief; books,books,books
"['textbook', 'books']",1,textbook; books,books,books
"['books', 'book; manuscript']",1,books; book; manuscript,books,books
"['etchings (prints)', 'book; bookbinding', 'relief processes', 'reliefs (sculpture)', 'books']",1,etchings; book; bookbinding; relief processes; reliefs; books,books,books
"['book; bookbinding', 'reliefs (sculpture)', 'books']",1,book; bookbinding; reliefs; books,books,books
"['book; bookbinding', 'letterpress', 'books']",1,book; bookbinding; letterpress; books,books,books
"['relief processes', 'reliefs (sculpture)', 'books']",1,relief processes; reliefs; books,books,books
"['bottle, nursing']",2,"bottle, nursing","bottle, nursing","bottle, nursings"
"['bottle, scent']",1,"bottle, scent","bottle, scent","bottle, scents"
"['bottles', 'bottle; pharmaceutical container']",145,bottles; bottle; pharmaceutical container,bottles,bottles
['bottles'],28,bottles,bottles,bottles
"['bottle & stopper; bottle; pharmaceutical container', 'bottles']",2,bottle & stopper; bottle; pharmaceutical container; bottles,bottles,bottles
"['bottle; bottle & stopper; pharmaceutical container', 'bottles']",2,bottle; bottle & stopper; pharmaceutical container; bottles,bottles,bottles
"['bottles', 'flasks (bottles)']",2,bottles; flasks,bottles,bottles
"['bottles', 'jar; bottle; pharmaceutical container', 'jar, apothecary']",1,"bottles; jar; bottle; pharmaceutical container; jar, apothecary",bottles,bottles
"['bottles', 'bottle, case, large']",1,"bottles; bottle, case, large",bottles,bottles
"['bottles', 'bottle; pharmaceutical container; pharmaceutical container']",1,bottles; bottle; pharmaceutical container; pharmaceutical container,bottles,bottles
"['bottle; containers', 'bottles', 'bottle, apothecary']",1,"bottle; containers; bottles; bottle, apothecary",bottles,bottles
"['bow and arrows; toys', 'bow and arrows, group of']",1,"bow and arrows; toys; bow and arrows, group of",bow and arrows; toys,bow and arrows; toys
"['bowl, covered']",1,"bowl, covered","bowl, covered","bowl, covereds"
"['bowl, pipe, tobacco']",1,"bowl, pipe, tobacco","bowl, pipe, tobacco",pipes
"['bowl, pipe', 'bowl, pipe, tobacco', 'bowl, pipe; smoking equipment']",1,"bowl, pipe; bowl, pipe, tobacco; bowl, pipe; smoking equipment","bowl, pipe",pipes
"['bowl, porringer']",1,"bowl, porringer","bowl, porringer","bowl, porringers"
"['bowl, punch']",1,"bowl, punch","bowl, punch","bowl, punches"
"['bowl, sugar']",11,"bowl, sugar","bowl, sugar","bowl, sugars"
"['bowl, sweemeat', 'bowl, sweetmeat']",1,"bowl, sweemeat; bowl, sweetmeat","bowl, sweemeat","bowl, sweemeats"
"['bowl, tea', 'tea bowls']",3,"bowl, tea; tea bowls","bowl, tea","bowl, teas"
"['bowl, waste']",2,"bowl, waste","bowl, waste","bowl, wastes"
['bowls (vessels)'],17,bowls,bowls,bowls
['bows (weapons)'],12,bows,bows,bows
['box chronometer without case'],1,box chronometer without case,box chronometer without case,box chronometer without cases
['box chronometer'],1,box chronometer,box chronometer,box chronometers
"['box, alms']",1,"box, alms","box, alms","box, alms"
"['box, candle']",2,"box, candle","box, candle","box, candles"
"['box, dough', 'dough trough table']",1,"box, dough; dough trough table","box, dough","box, doughs"
"['box, pipe, tobacco']",1,"box, pipe, tobacco","box, pipe, tobacco",pipes
"['box, snuff; smoking equipment', 'box, tobacco']",4,"box, snuff; smoking equipment; box, tobacco","box, snuff; smoking equipment",pipes
"['box, snuff; smoking equipment', 'box, snuff']",4,"box, snuff; smoking equipment; box, snuff","box, snuff",pipes
"['box, snuff']",3,"box, snuff","box, snuff","box, snufves"
"['box snuff; smoking equipment', 'box, snuff']",2,"box snuff; smoking equipment; box, snuff","box, snuff",pipes
"['box snuff; smoking equipment', 'box snuff', 'box, snuff', 'miniature, portrait']",1,"box snuff; smoking equipment; box snuff; box, snuff; miniature, portrait","box, snuff",pipes
"['box, snuff', 'dipper, snuff', 'box, snuff', 'box, snuff; smoking equipment']",1,"box, snuff; dipper, snuff; box, snuff; box, snuff; smoking equipment","box, snuff",pipes
"['spoon, snuff', 'box, snuff; smoking equipment', 'box, snuff']",1,"spoon, snuff; box, snuff; smoking equipment; box, snuff","box, snuff",pipes
"['box, stamp']",1,"box, stamp","box, stamp","box, stamps"
"['box, tobacco']",3,"box, tobacco","box, tobacco","box, tobaccos"
"['box, tobacco', 'box, tobacco']",1,"box, tobacco; box, tobacco","box, tobacco","box, tobaccos"
"['box, tobacco; smoking equipment', 'box, tobacco']",1,"box, tobacco; smoking equipment; box, tobacco","box, tobacco",pipes
"['box, wall']",1,"box, wall","box, wall","box, walls"
"['box, wall', 'candle box; lighting accessories']",1,"box, wall; candle box; lighting accessories","box, wall","box, walls"
['boxes (containers)'],9,boxes,boxes,boxes
"['box, snuff; smoking equipment', 'boxes (containers)']",1,"box, snuff; smoking equipment; boxes",boxes,pipes
"['accessories for the selling of clothing', 'boxes (containers)']",1,accessories for the selling of clothing; boxes,boxes,boxes
"['accessories for the care of clothing', 'boxes (containers)']",1,accessories for the care of clothing; boxes,boxes,boxes
['bracelets (jewelry)'],2,bracelets,bracelets,bracelets
"['breeches (trousers)', 'breeches; lower body; main dress; male']",9,breeches; breeches; lower body; main dress; male,breeches,dresses
['breeches (trousers)'],3,breeches,breeches,breeches
['bridge spike'],1,bridge spike,bridge spike,bridge spikes
['broadsides (notices)'],2,broadsides,broadsides,broadsides
"['broadsword; edged weapons; army; officer', 'broadswords']",1,broadsword; edged weapons; army; officer; broadswords,broadsword; edged weapons; army; officer,broadsword; edged weapons; army; officers
['broiler'],3,broiler,broiler,broilers
"['brooch; jewelry; accessories worn on the body; female', 'brooches']",4,brooch; jewelry; accessories worn on the body; female; brooches,brooch; jewelry; accessories worn on the body; female,brooch; jewelry; accessories worn on the body; females
"['bucket, fire']",6,"bucket, fire","bucket, fire","bucket, fires"
"['bucket, fire', 'buckets (vessels)']",1,"bucket, fire; buckets","bucket, fire","bucket, fires"
['buckets (vessels)'],1,buckets,buckets,buckets
"['buckle, knee; jewelry; accessories worn on the body; male', 'buckle, knee']",1,"buckle, knee; jewelry; accessories worn on the body; male; buckle, knee","buckle, knee; jewelry; accessories worn on the body; male","buckle, knee; jewelry; accessories worn on the body; males"
"['buckle, shoe', 'buckle, shoe; jewelry; accessories worn on the body; male']",1,"buckle, shoe; buckle, shoe; jewelry; accessories worn on the body; male","buckle, shoe","buckle, shoes"
"['buckles; male', 'buckles']",2,buckles; male; buckles,buckles,buckles
"['buckles, shoe, pair of', 'buckles, shoe, pair of; jewelry; accessories worn on the body; male']",4,"buckles, shoe, pair of; buckles, shoe, pair of; jewelry; accessories worn on the body; male","buckles, shoe, pair of","buckles, shoe, pair oves"
['building fragment'],1,building fragment,building fragment,building fragments
"['bullet, mold']",1,"bullet, mold","bullet, mold","bullet, molds"
['bumper sticker'],1,bumper sticker,bumper sticker,bumper stickers
"['burner, sulfur']",1,"burner, sulfur","burner, sulfur","burner, sulfurs"
"['busk', 'busk; underwear; female']",1,busk; busk; underwear; female,busk,busks
"['busk', 'busk; upper body; underwear; female']",1,busk; busk; upper body; underwear; female,busk,busks
['busts'],2,busts,busts,busts
"['button, politcal']",1,"button, politcal","button, politcal","button, politcals"
"['button, political']",12,"button, political","button, political","button, politicals"
['button'],10,button,button,buttons
"['accessories for the manufacturing of clothing', 'buttons; notions; accessories for the manufacturing of clothing', 'buttons', 'notions']",2,accessories for the manufacturing of clothing; buttons; notions; accessories for the manufacturing of clothing; buttons; notions,buttons,buttons
"['button', 'button; u.s. navy; officer; dress']",1,button; button; u.s. navy; officer; dress,button,dresses
"['button', 'mold, button', 'mold, button; 41cc, sullivan, michael d']",1,"button; mold, button; mold, button; 41cc, sullivan, michael d",button,buttons
"['buttons; accessories for the manufacturing of clothing', 'buttons']",1,buttons; accessories for the manufacturing of clothing; buttons,buttons,buttons
"['cuff buttons; jewelry; accessories worn on the body; male', 'buttons (fasteners)', 'cuff links']",1,cuff buttons; jewelry; accessories worn on the body; male; buttons; cuff links,buttons,buttons
['cabinets (case furniture)'],4,cabinets,cabinets,cabinets
"['cabinets (case furniture)', 'counter with drawers, ancient pharmacy']",1,"cabinets; counter with drawers, ancient pharmacy",cabinets,cabinets
"['caddy, tea']",3,"caddy, tea","caddy, tea","caddy, teas"
"['calash', 'calash; headwear; accessories worn on the body; female']",1,calash; calash; headwear; accessories worn on the body; female,calash,calashes
['calendar medal'],2,calendar medal,calendar medal,calendar medals
"['calipers, linear, set of', 'calipers, venier combined with depth gage']",1,"calipers, linear, set of; calipers, venier combined with depth gage","calipers, linear, set of","calipers, linear, set oves"
['camera lucida'],1,camera lucida,camera lucida,camera lucidas
"['candleholder', 'candleholders']",2,candleholder; candleholders,candleholders,candleholders
"['lighting devices', 'chandelier, candle', 'candleholder; lighting devices; socket; ceiling; hanging; chandelier', 'candleholders']",1,"lighting devices; chandelier, candle; candleholder; lighting devices; socket; ceiling; hanging; chandelier; candleholders",candleholders,candleholders
"['candlesticks, portable', 'candleholders']",1,"candlesticks, portable; candleholders",candleholders,candleholders
['candles'],5,candles,candles,candles
['cane (plant material)'],2,cane,cane,canes
"['canister, tea', 'canisters']",1,"canister, tea; canisters","canister, tea","canister, teas"
"['cannon, revolutionary war']",1,"cannon, revolutionary war","cannon, revolutionary war","cannon, revolutionary wars"
"['cannons (artillery)', 'cannon; firearms; h; 3.50 in; smooth bore; muzzle load; sa']",1,cannons; cannon; firearms; h; 3.50 in; smooth bore; muzzle load; sa,cannons,cannons
['cann'],2,cann,cann,canns
['canteens (vessels)'],2,canteens,canteens,canteens
"['cap, miter', 'cap; cap, mitre; man; m, newport light infantry', 'mitres']",1,"cap, miter; cap; cap, mitre; man; m, newport light infantry; mitres","cap, miter","cap, miters"
"['cap, pipe, tobacco']",1,"cap, pipe, tobacco","cap, pipe, tobacco",pipes
['capes'],1,capes,capes,capes
"['caps (headgear)', 'cap; headwear; accessories worn on the body; female']",12,caps; cap; headwear; accessories worn on the body; female,caps,caps
"['caps (headgear)', 'cap; headwear; accessories worn on the body; woman; 1800 00 00+, 1809 00 00']",1,"caps; cap; headwear; accessories worn on the body; woman; 1800 00 00+, 1809 00 00",caps,caps
"['neckwear', 'caps (headgear)']",1,neckwear; caps,caps,caps
"['caps (headgear)', 'cap; man']",1,caps; cap; man,caps,caps
"['caps (headgear)', 'cap; man; army; grenadier']",1,caps; cap; man; army; grenadier,caps,caps
"['caps (headgear)', 'cap; man; army; fusileer']",1,caps; cap; man; army; fusileer,caps,caps
"['caps (headgear)', 'cap; headwear; accessories worn on the body; male']",1,caps; cap; headwear; accessories worn on the body; male,caps,caps
"['carbines', 'burnside percussion rifle carbine', 'carbine, percussion', 'burnside percussion rifle carbine; carbine; firearms; percussion fire; .54 in; rifled; 09; 03']",1,"carbines; burnside percussion rifle carbine; carbine, percussion; burnside percussion rifle carbine; carbine; firearms; percussion fire; .54 in; rifled; 09; 03",carbines,carbines
"['carbine, flintlock', 'carbine; firearms; flintlock; .65 in; smooth bore; muzzle load; sa', 'carbines']",1,"carbine, flintlock; carbine; firearms; flintlock; .65 in; smooth bore; muzzle load; sa; carbines",carbines,carbines
"['carbine, flintlock', 'carbine; firearms; flintlock; .60 in; rifled; muzzle load; sa', 'carbines']",1,"carbine, flintlock; carbine; firearms; flintlock; .60 in; rifled; muzzle load; sa; carbines",carbines,carbines
"['carbine, flintlock', 'carbine; firearms; flintlock; .54 in; smooth bore; muzzle load', 'carbines']",1,"carbine, flintlock; carbine; firearms; flintlock; .54 in; smooth bore; muzzle load; carbines",carbines,carbines
"['carbine, flintlock', 'carbine; firearms; flintlock; .79 in; smooth bore; muzzle load; sa', 'carbines']",1,"carbine, flintlock; carbine; firearms; flintlock; .79 in; smooth bore; muzzle load; sa; carbines",carbines,carbines
"['card, playing']",3,"card, playing","card, playing","card, playings"
"['card, prayer']",1,"card, prayer","card, prayer","card, prayers"
"['carder, hand']",3,"carder, hand","carder, hand","carder, hands"
"['carding machine, part']",1,"carding machine, part","carding machine, part","carding machine, parts"
"['carding machine, wool, scholfield', 'wool carding machine']",1,"carding machine, wool, scholfield; wool carding machine","carding machine, wool, scholfield","carding machine, wool, scholfields"
['cards (information artifacts)'],3,cards,cards,cards
['carpet segment'],1,carpet segment,carpet segment,carpet segments
"['carpet, fragment', 'picture, woven']",1,"carpet, fragment; picture, woven","carpet, fragment","carpet, fragments"
"['carpet, ingrain', 'carpets', 'carpet, ingrain, length']",1,"carpet, ingrain; carpets; carpet, ingrain, length","carpet, ingrain","carpet, ingrains"
"['carriage, 1810', 'carriage, 1810; road; coachee', 'shaft, coachee']",1,"carriage, 1810; carriage, 1810; road; coachee; shaft, coachee","carriage, 1810","carriage, 1810s"
"['case, pipe; smoking equipment', 'case, pipe']",2,"case, pipe; smoking equipment; case, pipe","case, pipe; smoking equipment",pipes
"['case, cigar holder', 'case, pipe; smoking equipment']",1,"case, cigar holder; case, pipe; smoking equipment","case, pipe; smoking equipment",pipes
"['case, pipe; smoking equipment', 'case, holder, cigar']",1,"case, pipe; smoking equipment; case, holder, cigar","case, pipe; smoking equipment",pipes
"['case, pipe']",1,"case, pipe","case, pipe",pipes
['cases (containers)'],4,cases,cases,cases
"['cases (containers)', 'case; surgical set']",1,cases; case; surgical set,cases,cases
"['case; bloodletting instruments; spring lancet', 'bloodletting', 'spring lancet, bloodletting', 'lancet, set', 'cases (containers)']",1,"case; bloodletting instruments; spring lancet; bloodletting; spring lancet, bloodletting; lancet, set; cases",cases,cases
"['casing; ammunition, artillery; center fire; 25 mm', 'casing']",1,"casing; ammunition, artillery; center fire; 25 mm; casing","casing; ammunition, artillery; center fire; 25 mm","casing; ammunition, artillery; center fire; 25 mms"
"['shaker', 'casters (vessels)']",2,shaker; casters,casters,casters
['casters (vessels)'],1,casters,casters,casters
"['ceiling ornament, church']",1,"ceiling ornament, church","ceiling ornament, church","ceiling ornament, churches"
['celestial globe'],1,celestial globe,celestial globe,celestial globes
['cello'],2,cello,cello,cellos
"['ceramic jar', 'jar, olive, ceramic']",1,"ceramic jar; jar, olive, ceramic",ceramic jar,ceramic jars
"['certificate, discharge']",1,"certificate, discharge","certificate, discharge","certificate, discharges"
"['certificate, naturalization']",1,"certificate, naturalization","certificate, naturalization","certificate, naturalizations"
"['certificates', 'certificate; signature']",1,certificates; certificate; signature,certificates,certificates
"['cards (information artifacts)', 'certificates', 'certofocate', 'pledge card']",1,cards; certificates; certofocate; pledge card,certificates,certificates
['certificates'],1,certificates,certificates,certificates
"['chair, arm', 'chair; arm; windsor']",1,"chair, arm; chair; arm; windsor","chair, arm",chairs
"[""chair, child's"", 'chair; furniture; child']",1,"chair, child's; chair; furniture; child","chair, child's",chairs
"[""chair, child's""]",1,"chair, child's","chair, child's",chairs
"['chair, rocking']",2,"chair, rocking","chair, rocking",chairs
"['chair; furniture; arm; rocking; windsor?', 'chair, rocking']",1,"chair; furniture; arm; rocking; windsor?; chair, rocking","chair, rocking",chairs
"['chair; furniture; side; rocking; ladder back', 'chair, rocking']",1,"chair; furniture; side; rocking; ladder back; chair, rocking","chair, rocking",chairs
"['windsor side chair', 'chair, side', 'chair; side; windsor chair', 'chairs (furniture forms)']",6,"windsor side chair; chair, side; chair; side; windsor chair; chairs","chair, side",chairs
"['chair, side']",5,"chair, side","chair, side",chairs
"['chair, side', 'chair; furniture; side']",4,"chair, side; chair; furniture; side","chair, side",chairs
"['chair, side', 'chair; furniture; side; splat back, pierced', 'chairs (furniture forms)']",4,"chair, side; chair; furniture; side; splat back, pierced; chairs","chair, side",chairs
"['chair, side', 'chair; furniture; side; shield back, open', 'chairs (furniture forms)']",3,"chair, side; chair; furniture; side; shield back, open; chairs","chair, side",chairs
"['chair, side', 'chair; side']",2,"chair, side; chair; side","chair, side",chairs
"['chair, side', 'chair; furniture; side; shield back, open']",2,"chair, side; chair; furniture; side; shield back, open","chair, side",chairs
"['chair; furniture; side; fancy', 'chair, side', 'chairs (furniture forms)']",2,"chair; furniture; side; fancy; chair, side; chairs","chair, side",chairs
"['chair; furniture; side; windsor', 'chair, side']",2,"chair; furniture; side; windsor; chair, side","chair, side",chairs
"['chair, side', 'chair; furniture; side; ladder back']",1,"chair, side; chair; furniture; side; ladder back","chair, side",chairs
"['chair; furniture; side; windsor', 'chair, side', 'chairs (furniture forms)']",1,"chair; furniture; side; windsor; chair, side; chairs","chair, side",chairs
"['chair, side', 'pa side chair', 'chairs (furniture forms)']",1,"chair, side; pa side chair; chairs","chair, side",chairs
"['chair, side', 'chairs (furniture forms)']",1,"chair, side; chairs","chair, side",chairs
"['chair, side', 'chair; chair, arm; furnishings', 'chair, arm', 'chairs (furniture forms)']",1,"chair, side; chair; chair, arm; furnishings; chair, arm; chairs","chair, side",chairs
"['chair, side', 'chair; furniture; side chair; windsor']",1,"chair, side; chair; furniture; side chair; windsor","chair, side",chairs
"['chair; furniture; arm', 'chair, corner']",1,"chair; furniture; arm; chair, corner",chair; furniture; arm,chairs
"['chair, wing', 'chair; furniture; arm']",1,"chair, wing; chair; furniture; arm",chair; furniture; arm,chairs
['chairs (furniture forms)'],3,chairs,chairs,chairs
"['chair; furniture; side; windsor', 'chairs (furniture forms)']",3,chair; furniture; side; windsor; chairs,chairs,chairs
"['chair; furniture; side; ladder back', 'chairs (furniture forms)']",2,chair; furniture; side; ladder back; chairs,chairs,chairs
