canonical_type,suggested_canonical,changed_flag,object_types_list,objectType,physicalDescription
azimuth circles,azimuth circles,False,['azimuth circle'],"{""Object Name"": ""azimuth circle""}","{""Measurements"": ""overall: 11 1/4 in; 28.575 cm\noverall: 1 5/8 in x 11 1/8 in; 4.1275 cm x 28.2575 cm""}"
backstafves,backstafves,False,['backstaff'],"{""Object Name"": ""backstaff""}","{""Measurements"": ""overall: 25 1/4 in; 64.135 cm""}"
badges,badges,False,['Badges'],"{""Object Name"": ""Badge""}","{""Physical Description"": ""metal, gold (overall material)""}"
"bag, salvages","bag, salvages",False,"['Bag, Salvage']","{""Object Name"": ""Bag, Salvage""}","{""Physical Description"": ""linen (overall material)\nplain woven (overall production method/technique)"", ""Measurements"": ""overall: 59 in x 28 in; 149.86 cm x 71.12 cm""}"
bagpipes,bagpipes,False,['Bagpipes'],"{""Object Name"": ""bagpipe""}","{""Physical Description"": ""thread, metallic (bag cover material)\nsilk (bag cover material)\nfelt (inner bag material)\nleather (bag material)\nboxwood (overall material)\npewter (overall material)\nleather (overall material)\nfabric, brocade (bag cover material)"", ""Measurements"": ""chanter: 33.3 cm; 13 1/8 in\ntenor drone: 26.3 cm; 10 11/32 in\nbass drone: 35.7 cm; 14 1/16 in\nblow pipe: 9.5 cm; 3 3/4 in\nbag: 48.3 cm; 19 1/32 in""}"
balances,balances,False,['Balances (scales)'],"{""Object Name"": ""balance\nscale""}","{""Physical Description"": ""brass (overall material)\ncotton (overall material)"", ""Measurements"": ""overall: 5 in x 2 3/4 in x 3/4 in; 12.7 cm x 6.985 cm x 1.905 cm""}"
ballot boxes,ballot boxes,False,['Ballot Box'],"{""Object Name"": ""Ballot Box""}","{""Physical Description"": ""mahogany (overall color)\nwood, meta1 (not defined material)"", ""Measurements"": ""overall: 16 in x 12 in x 9 in; 40.64 cm x 30.48 cm x 22.86 cm""}"
banjos,banjos,False,['Banjos'],"{""Object Name"": ""banjo""}","{""Physical Description"": ""wood (overall material)\nmetal (overall material)\nanimal skin (overall material)"", ""Measurements"": ""overall: 28 1/2 in x 6 1/2 in x 2 in; 72.39 cm x 16.51 cm x 5.08 cm""}"
bank notes,bank notes,False,['note'],"{""Object Name"": ""note""}","{""Physical Description"": ""paper (overall material)"", ""Measurements"": ""overall: 7.3 cm x 11 cm x .01 cm; 2 7/8 in x 4 11/32 in x in""}"
banners,banners,False,['Banners'],"{""Object Name"": ""Banner""}","{""Physical Description"": ""silk (overall material)"", ""Measurements"": ""overall: 55 in x 46 in; 139.7 cm x 116.84 cm""}"
barrel organs,barrel organs,False,['barrel organ'],"{""Object Name"": ""barrel organ""}","{""Physical Description"": ""wood (overall material)\nmetal (overall material)"", ""Measurements"": ""overall: 23 3/4 in x 21 in x 13 3/4 in; 60.325 cm x 53.34 cm x 34.925 cm""}"
basins,basins,False,['Basins'],"{""Object Name"": ""basin""}","{""Physical Description"": ""pewter (overall material)"", ""Measurements"": ""overall: 3 in x 14 1/4 in; 7.62 cm x 36.195 cm\nrim width: 5/8 in; 1.5875 cm""}"
"basket, winnowings","basket, winnowings",False,"['Basket, Winnowing']","{""Object Name"": ""Basket, Winnowing""}","{""Physical Description"": ""plastic (display case material)"", ""Measurements"": ""overall: 9 in x 40 in x 32 in; 22.86 cm x 101.6 cm x 81.28 cm""}"
baskets,baskets,False,"['basket; Maritime', 'Baskets (containers)']","{""Object Name"": ""basket"", ""Other Terms"": ""basket; Maritime""}","{""Physical Description"": ""iron (overall material)"", ""Measurements"": ""overall: 60 in x 8 in; 152.4 cm x 20.32 cm""}"
bassoons,bassoons,False,['bassoon'],"{""Object Name"": ""bassoon""}","{""Physical Description"": ""maple (overall material)\nbrass (overall material)"", ""Measurements"": ""overall: 122.7 cm; 48 5/16 in\nbell: 12 1/16 in x 2 in; 30.63875 cm x 5.08 cm\ncrook: 3 3/4 in x 9 5/16 in x 9/16 in; 9.525 cm x 23.65375 cm x 1.42875 cm\nlong joint: 22 1/2 in x 1 3/4 in x 2 in; 57.15 cm x 4.445 cm x 5.08 cm\nwing joint: 20 3/8 in x 1 3/4 in x 1 1/2 in; 51.7525 cm x 4.445 cm x 3.81 cm\nboot: 17 3/8 in x 3 in x 2 9/16 in; 44.1325 cm x 7.62 cm x 6.50875 cm""}"
batteries,batteries,False,"['Battery; Electrochemical Devices', 'Battery']","{""Object Name"": ""Battery"", ""Other Terms"": ""Battery; Electrochemical Devices""}","{""Measurements"": ""overall: 22 1/2 in x 5 1/2 in; 57.15 cm x 13.97 cm""}"
bayonets,bayonets,False,"['Bayonet; Edged Weapons; Socket', 'Bayonets', 'bayonet, socket']","{""Object Name"": ""Bayonet\nbayonet, socket"", ""Other Terms"": ""Bayonet; Edged Weapons; Socket""}","{""Physical Description"": ""metal (overall material)"", ""Measurements"": ""overall: 18 in x 2 1/2 in x 1 in; 45.72 cm x 6.35 cm x 2.54 cm""}"
"beads, prayers","beads, prayers",False,"['beads, prayer']","{""Object Name"": ""beads, prayer""}","{""Measurements"": ""overall: 3/8 in x 1 in x 1 3/4 in; .9525 cm x 2.54 cm x 4.445 cm""}"
beakers,beakers,False,['Beakers (vessels)'],"{""Object Name"": ""beaker""}","{""Physical Description"": ""silver (overall material)"", ""Measurements"": ""overall: 3 1/2 in x 3 1/4 in; 8.89 cm x 8.255 cm""}"
beam balances,balances,True,['beam balance'],"{""Object Name"": ""beam balance""}","{""Physical Description"": ""iron (overall material)"", ""Measurements"": ""overall: 2 in x 11 in x 3/4 in; 5.08 cm x 27.94 cm x 1.905 cm""}"
"bed cover, appliques",beds,True,"['Bed Cover, Applique', 'counterpane, embroidered']","{""Object Name"": ""Bed Cover, Applique\ncounterpane, embroidered""}","{""Physical Description"": ""fabric, cotton (overall material)\nthread, cotton, linen (overall material)"", ""Measurements"": ""overall; 101 in x 92 in; 255 cm x 232 cm""}"
bed coverings,beds,True,"['Bed coverings', 'coverlet']","{""Object Name"": ""coverlet, overshot\ncoverlet""}","{""Physical Description"": ""cotton, linen, wool (overall material)\novershot (overall production method/technique)\n4-harness loom (overall production method/technique)\nAmerican Beauty (overall pattern)"", ""Measurements"": ""overall: 88 in x 78 in; 223.52 cm x 198.12 cm""}"
"bed hanging, hosptials",beds,True,"['Bed hanging, hosptial', 'Bed hanging, hosptial; Bed hanging; Coverlet; T15059']","{""Object Name"": ""Bed hanging, hosptial"", ""Other Terms"": ""Bed hanging, hosptial; Bed hanging; Coverlet; T15059""}","{""Physical Description"": ""single weave (overall production method/technique)\nlight blue (overall color)\nwhite (overall color)""}"
"bed valance, printeds",beds,True,"['Bed Valance, Printed']","{""Object Name"": ""Bed Valance, Printed""}","{""Physical Description"": ""cotton (overall material)"", ""Measurements"": ""overall: 21 1/2 in x 25 in; 54.61 cm x 63.5 cm""}"
bed warmers,beds,True,"['Bedwarmer', 'bed warmer']","{""Object Name"": ""Bedwarmer\nbed warmer""}","{""Physical Description"": ""brass (pan; lid; socket material)\nwood (handle material)""}"
bedsteads,beds,True,"['Bedstead', 'Bedstead; Furniture; Cradle']","{""Object Name"": ""Bedstead"", ""Other Terms"": ""Bedstead; Furniture; Cradle""}","{""Measurements"": ""overall: 75 in x 51 in; 190.5 cm x 129.54 cm""}"
beetles,beetles,False,"['Beetle', 'Beetle; Woodworking; Striking & Prizing Tools; Hand Tools']","{""Object Name"": ""Beetle"", ""Other Terms"": ""Beetle; Woodworking; Striking & Prizing Tools; Hand Tools""}","{""Physical Description"": ""metal, iron (overall material)\nwood (overall material)\nwood, hickory (overall material)"", ""Measurements"": ""overall: 32 1/2 in; x 82.55 cm""}"
"bell, cows","bell, cows",False,"['Bell, Cow']","{""Object Name"": ""Bell, Cow""}","{""Physical Description"": ""brass (overall material)"", ""Measurements"": ""overall: 8 1/4 in x 6 in x 5 in; 20.955 cm x 15.24 cm x 12.7 cm""}"
bellows,bellows,False,['Bellows'],"{""Object Name"": ""bellows"", ""Object Type"": ""bellows""}","{""Physical Description"": ""wood (overall material)\nleather (overall material)\nmetal, iron (overall material)"", ""Measurements"": ""overall: 2 3/8 in x 22 3/8 in x 9 3/8 in; 6.0325 cm x 56.8325 cm x 23.8125 cm""}"
bells,bells,False,['Bells (idiophones)'],"{""Object Name"": ""bell""}","{""Physical Description"": ""brass (overall material)"", ""Measurements"": ""overall: 3 5/8 in x 3 in; 9.2075 cm x 7.62 cm""}"
"bells, goat, pair oves","bells, goat, pair oves",False,"['Bells, Goat, Pair of']","{""Object Name"": ""Bells, Goat, Pair of""}","{""Measurements"": ""one bell: 6 1/2 in x 3 1/2 in; 16.51 cm x 8.89 cm\nother bell: 5 in x 5 in x 3 1/2 in; 12.7 cm x 12.7 cm x 8.89 cm""}"
belts,belts,False,['Belts (costume accessories)'],"{""Object Name"": ""belt""}","{""Physical Description"": ""leather (overall material)"", ""Measurements"": ""overall: 2 3/4 in x 41 in; 6.985 cm x 104.14 cm""}"
bill of exchanges,bill of exchanges,False,['bill of exchange'],"{""Object Name"": ""bill of exchange""}","{""Physical Description"": ""paper (overall material)"", ""Measurements"": ""overall: 7.9 cm x 14.7 cm x .01 cm; 3 1/8 in x 5 25/32 in x in""}"
bill of sales,bill of sales,False,['Bill of Sale'],"{""Object Name"": ""Bill of Sale""}","{""Measurements"": ""overall: 14 1/8 in x 9 1/8 in; 35.8775 cm x 23.1775 cm""}"
"bit; equipment, horse; armies",bit,True,"['Bit; Equipment, Horse; Army', 'Bit']","{""Object Name"": ""Bit"", ""Other Terms"": ""Bit; Equipment, Horse; Army""}","{""Physical Description"": ""metal (overall material)"", ""Measurements"": ""overall: 3/4 in x 7 1/2 in x 8 1/2 in; 1.905 cm x 19.05 cm x 21.59 cm""}"
blankets,blankets,False,['Blankets (coverings)'],"{""Object Name"": ""Blanket""}","{""Measurements"": ""overall: 82 in x 70 in; 208.28 cm x 177.8 cm""}"
blocks,blocks,False,"['block', 'block, cut']","{""Object Name"": ""block\nblock, cut""}","{""Physical Description"": ""wood (overall material)"", ""Measurements"": ""overall: 1 in; 2.54 cm""}"
bloodlettings,bloodlettings,False,"['bloodletting', 'lancet, set']","{""Object Name"": ""lancet, set\nbloodletting""}","{""Measurements"": ""purse: 3/8 in x 4 3/8 in x 2 1/2 in; .9525 cm x 11.1125 cm x 6.35 cm\nlancet: 1/2 in x 2 1/8 in x 1 in; 1.27 cm x 5.3975 cm x 2.54 cm""}"
blunderbuss,blunderbuss,False,"['Blunderbuss; Firearms; Flintlock; .80 In; Smooth Bore; Muzzle Load; Sa', 'Blunderbuss']","{""Object Name"": ""Blunderbuss"", ""Other Terms"": ""Blunderbuss; Firearms; Flintlock; .80 In; Smooth Bore; Muzzle Load; Sa""}","{""Measurements"": ""with bayonet: 7 1/2 in x 31 1/2 in x 3 3/4 in; 19.05 cm x 80.01 cm x 9.525 cm""}"
"boiler, steam, models","boiler, steam, models",False,"['boiler, steam, model', 'Boiler, Steam']","{""Object Name"": ""Boiler, Steam\nboiler, steam, model""}","{""Measurements"": ""overall: 18 3/4 in x 13 1/4 in x 22 1/2 in; 47.625 cm x 33.655 cm x 57.15 cm""}"
bolts,bolts,False,['Bolts (fasteners)'],"{""Object Name"": ""Bolt""}","{""Physical Description"": ""metal (overall material)"", ""Measurements"": ""overall: 4 1/2 in x 1 in x 1 in; 11.43 cm x 2.54 cm x 2.54 cm""}"
bonds,bonds,False,['bond'],"{""Object Name"": ""bond""}","{""Physical Description"": ""paper (overall material)"", ""Measurements"": ""overall: 23 cm x 22.5 cm x .01 cm; 9 1/16 in x 8 27/32 in x in""}"
bonnets,bonnets,False,"['Bonnets (hats)', 'Bonnet; Headwear; Accessories Worn on the Body; Female']","{""Object Name"": ""Bonnet"", ""Other Terms"": ""Bonnet; Headwear; Accessories Worn on the Body; Female""}",
book pages,book pages,False,['book pages'],"{""Object Name"": ""book pages""}",
book with boxes,boxes,True,['book with box'],"{""Object Name"": ""book with box""}","{""Measurements"": ""overall bible: 17 3/8 in x 11 in x 3 1/2 in; 44.1325 cm x 27.94 cm x 8.89 cm\noverall box: 21 1/8 in x 13 3/8 in x 4 1/2 in; 53.6575 cm x 33.9725 cm x 11.43 cm""}"
booklets,booklets,False,"['Booklets', 'Booklet; Documents']","{""Object Name"": ""Booklet"", ""Other Terms"": ""Booklet; Documents""}","{""Physical Description"": ""paper (overall material)\ncotton (overall material)\nink (overall material)"", ""Measurements"": ""overall: 19 cm x 16 in; 7 15/32 in x 40.64 cm""}"
books,books,False,['Books'],"{""Type"": ""Book""}","{""Medium"": ""Stipple engraving on paper"", ""Dimensions"": ""Image: 10 \u00d7 8.1 cm (3 15/16 \u00d7 3 3/16\"")\nBook closed: 22.3 \u00d7 13.5 cm (8 3/4 \u00d7 5 5/16\"")\nBook open: 22.3 \u00d7 26 cm (8 3/4 \u00d7 10 1/4\"")""}"
"bottle, nursings","bottle, nursings",False,"['Bottle, Nursing']","{""Object Name"": ""Bottle, Nursing""}","{""Physical Description"": ""green (overall color)\nglass, transparent (overall material)\nmold blown (overall production method/technique)""}"
"bottle, scents","bottle, scents",False,"['Bottle, Scent']","{""Object Name"": ""Bottle, Scent""}","{""Physical Description"": ""blue (overall color)\nglass, transparent (overall material)\nmold blon (overall production method/technique)"", ""Measurements"": ""overall: 3 1/4 in x 1 in x 1/2 in; 8.255 cm x 2.54 cm x 1.27 cm""}"
bottles,bottles,False,['Bottles'],"{""Object Name"": ""bottle""}","{""Physical Description"": ""glass (overall material)\npaint (overall material)"", ""Measurements"": ""overall: 22.5 cm x 11 cm; 8 7/8 in x 4 5/16 in""}"
bow and arrows; toys,bow and arrows,True,"['Bow and Arrows; Toys', 'bow and arrows, group of']","{""Object Name"": ""bow and arrows, group of"", ""Other Terms"": ""Bow and Arrows; Toys""}","{""Physical Description"": ""tied (overall connector/connecting technique)\nwood (overall material)\nbrass (arrow tips material)\nyarn (overall material)\nfeather (overall material)"", ""Measurements"": ""bow: 47 in; 119.38 cm\nlong arrows: 20 in; 50.8 cm""}"
"bowl, covereds",bowls,True,"['bowl, covered']","{""Object Name"": ""bowl, covered""}","{""Physical Description"": ""pewter (bowl, cover material)"", ""Measurements"": ""overall: 3 5/8 in x 3 3/8 in; 9.2075 cm x 8.5725 cm""}"
"bowl, porringers",bowls,True,"['bowl, porringer']","{""Object Name"": ""bowl, porringer""}","{""Physical Description"": ""pewter (overall material)"", ""Measurements"": ""overall: 1 3/4 in x 5 7/8 in; 4.445 cm x 14.9225 cm""}"
"bowl, punches",bowls,True,"['bowl, punch']","{""Object Name"": ""bowl, punch""}","{""Physical Description"": ""hard-paste porcelain (overall material)\npolychrome enamels and gold (overall color)\nafter William Hogarth (overall style)"", ""Measurements"": ""overall: 6 1/4 in x 11 1/2 in; 15.875 cm x 29.21 cm\noverall: 6 1/4 in x 11 11/16 in; 15.875 cm x 29.6545 cm""}"
"bowl, sugars",bowls,True,"['bowl, sugar']","{""Object Name"": ""bowl, sugar""}","{""Physical Description"": ""red (overall color)\npolychrome (overall surface decoration color name)\nceramic, porcelain (overall material)"", ""Measurements"": ""overall: 5 15/16 in x 5 9/16 in x 3 3/4 in; 15.08125 cm x 14.12875 cm x 9.525 cm""}"
"bowl, sweemeats",bowls,True,"['bowl, sweemeat', 'bowl, sweetmeat']","{""Object Name"": ""bowl, sweemeat\nbowl, sweetmeat""}","{""Physical Description"": ""\""colorless\"" (foot color)\nglass, transparent (foot material)\ncut (joint piece production method/technique)"", ""Measurements"": ""overall: 8 1/4 in x 4 5/8 in; 20.955 cm x 11.7475 cm""}"
"bowl, teas",bowls,True,"['bowl, tea', 'Tea bowls']","{""Object Name"": ""Tea Bowl\nbowl, tea""}","{""Physical Description"": ""monochrome, blue (overall surface decoration color name)\nceramic, porcelain, hard-paste (overall material)"", ""Measurements"": ""overall: 2 in x 3 1/4 in; 5.08 cm x 8.255 cm""}"
"bowl, wastes",bowls,True,"['bowl, waste']","{""Object Name"": ""bowl, waste""}","{""Physical Description"": ""silver (overall material)"", ""Measurements"": ""overall: 4 1/8 in x 6 7/8 in; 10.4775 cm x 17.4625 cm""}"
bowls,bowls,False,['Bowls (vessels)'],"{""Object Name"": ""Bowl""}","{""Physical Description"": ""polychrome (overall surface decoration color name)\nceramic, porcelain, hard-paste (overall material)"", ""Measurements"": ""overall: 2 5/8 in x 5 1/2 in; 6.6675 cm x 13.97 cm""}"
bows,bows,False,['Bows (weapons)'],"{""Object Name"": ""bow""}","{""Physical Description"": ""ironwood (overall material)\nebony (overall material)\nivory (overall material)\nhorsehair (overall material)"", ""Measurements"": ""overall: 5/8 in x 27 1/2 in x 1 1/8 in; 1.5875 cm x 69.85 cm x 2.8575 cm""}"
box chronometer without cases,boxes,True,['box chronometer without case'],"{""Object Name"": ""box chronometer without case""}","{""Physical Description"": ""brass (overall material)\nsteel (overall material)\nglass (overall material)"", ""Measurements"": ""overall: 2 7/8 in x 3 1/2 in; 7.3025 cm x 8.89 cm""}"
box chronometers,boxes,True,['box chronometer'],"{""Object Name"": ""box chronometer""}","{""Physical Description"": ""brass (overall material)\nsteel (overall material)\nglass (overall material)\nwood (overall material)\njewels (overall material)"", ""Measurements"": ""wooden box - from catalog card: 5 3/8 in x 6 1/4 in x 6 1/4 in; 13.6525 cm x 15.875 cm x 15.875 cm\noverall: 5 1/4 in x 6 3/4 in x 6 3/8 in; 13.335 cm x 17.145 cm x 16.1925 cm""}"
"box, alms",boxes,True,"['box, alms']","{""Object Name"": ""box, alms""}","{""Physical Description"": ""iron (overall material)\ntin (overall material)\npaint (exterior material)\nwire, iron (rims material)"", ""Measurements"": ""overall: 2 3/4 in x 5 1/8 in x 3 5/8 in; 6.985 cm x 13.0175 cm x 9.2075 cm""}"
"box, candles",candleholders,True,"['box, candle']","{""Object Name"": ""box, candle""}","{""Physical Description"": ""pine, white (overall material)\npaint (exterior material)"", ""Measurements"": ""overall: 14 1/2 in x 14 3/8 in x 6 7/8 in; 36.83 cm x 36.5125 cm x 17.4625 cm""}"
"box, doughs",boxes,True,"['Box, Dough', 'dough trough table']","{""Object Name"": ""Box, Dough\ndough trough table""}",
"box, snufves",boxes,True,"['box, snuff']","{""Object Name"": ""box, snuff""}","{""Physical Description"": ""metal, gold (overall material)"", ""Measurements"": ""overall: 3/4 in x 3 1/4 in x 2 5/8 in; 1.905 cm x 8.255 cm x 6.6675 cm""}"
"box, stamps",boxes,True,"['box, stamp']","{""Object Name"": ""box, stamp""}","{""Physical Description"": ""metal, silver (overall material)"", ""Measurements"": ""overall: 3/8 in x 1 5/8 in x 1 1/4 in; .9525 cm x 4.1275 cm x 3.175 cm""}"
"box, tobaccos",boxes,True,"['box, tobacco']","{""Object Name"": ""box, tobacco""}","{""Physical Description"": ""brass (overall material)"", ""Measurements"": ""overall: 1 1/2 in x 6 in x 2 1/4 in; 3.81 cm x 15.24 cm x 5.715 cm""}"
"box, walls",boxes,True,"['box, wall', 'Candle Box; Lighting Accessories']","{""Object Name"": ""box, wall"", ""Other Terms"": ""Candle Box; Lighting Accessories""}","{""Physical Description"": ""pine (overall material)"", ""Measurements"": ""overall: 18 1/4 in x 14 1/2 in x 8 1/2 in; 46.355 cm x 36.83 cm x 21.59 cm""}"
boxes,boxes,False,['Boxes (containers)'],"{""Object Name"": ""box""}","{""Physical Description"": ""brass (overall material)\ncopper (overall material)\nshagreen (overall material)"", ""Measurements"": ""overall: 3.7 cm x 12.5 cm x 7.3 cm; 1 7/16 in x 4 15/16 in x 2 7/8 in""}"
bracelets,bracelets,False,['Bracelets (jewelry)'],"{""Object Name"": ""Bracelet""}","{""Physical Description"": ""metal, silver (overall material)\nengraved (overall production method/technique)\nridged (overall production method/technique)"", ""Measurements"": ""overall: 1 in x 2 1/4 in; 2.54 cm x 5.715 cm""}"
breeches,breeches,False,['Breeches (trousers)'],"{""Object Name"": ""Breeches""}","{""Measurements"": ""waist, without gusset: 77 cm; x 30 5/16 in\noverall length at side: 61 cm; 24 in\nfall width--top edge: 17.4 cm; x 6 7/8 in\nfall width, across base: 28.9 cm; x 11 3/8 in\nfall height: 13.3 cm; 5 1/4 in\npocket welt, waistband: 2.4 cm x 9.2 cm; 15/16 in x 3 5/8 in\nwaistband width, cb: 7.4 cm; 2 15/16 in\nwaistband width, side: 8.9 cm; 3 1/2 in\nwaistband width, cf: 15.3 cm; 6 in\ngusset, cb, length at spread edge: 13.5 cm; 5 5/16 in\nbuttons, fall, knee, side pocket: 1.5 cm; x 9/16 in\nbuttons, cf: 2.1 cm; x 13/16 in\nleg opening, length: 22.2 cm; 8 3/4 in\nbutton span, leg opening: 12.5 cm; 4 15/16 in""}"
bridge spikes,bridge spikes,False,['bridge spike'],"{""Object Name"": ""bridge spike""}","{""Physical Description"": ""iron (overall material)"", ""Measurements"": ""overall: 9 1/8 in x 1 1/4 in x 1 1/8 in; 23.1775 cm x 3.175 cm x 2.8575 cm\noverall, from cat. card: 9 in; 22.86 cm""}"
broadsides,broadsides,False,['Broadsides (notices)'],"{""Object Name"": ""Broadside""}","{""Measurements"": ""overall: 16 1/2 in x 13 in; 41.91 cm x 33.02 cm""}"
broadsword; edged weapons; army; officers,broadsword,True,"['Broadsword; Edged Weapons; Army; Officer', 'Broadswords']","{""Object Name"": ""Broadsword\nbroadsword"", ""Other Terms"": ""Broadsword; Edged Weapons; Army; Officer""}","{""Measurements"": ""overall: 40 in x 4 1/4 in; 101.6 cm x 10.795 cm\noverall, broadsword: 4 1/2 in x 5 1/2 in x 41 in; 11.43 cm x 13.97 cm x 104.14 cm""}"
broilers,broilers,False,['broiler'],"{""Object Name"": ""broiler""}","{""Physical Description"": ""iron, wrought (overall material)"", ""Measurements"": ""overall: 4 in x 11 7/8 in x 21 5/8 in; 10.16 cm x 30.1625 cm x 54.9275 cm""}"
brooch; jewelry; accessories worn on the body; females,brooch,True,"['Brooch; Jewelry; Accessories Worn on the Body; Female', 'Brooches']","{""Object Name"": ""Brooch"", ""Other Terms"": ""Brooch; Jewelry; Accessories Worn on the Body; Female""}","{""Physical Description"": ""metal (overall material)\nglass (overall material)""}"
"bucket, fires","bucket, fires",False,"['bucket, fire']","{""Object Name"": ""bucket, fire""}","{""Physical Description"": ""leather (overall material)"", ""Measurements"": ""overall: 15 1/2 in x 9 in; 39.37 cm x 22.86 cm""}"
buckets,buckets,False,['Buckets (vessels)'],"{""Object Name"": ""bucket""}","{""Physical Description"": ""pine (staves material)\ncedar (bottom material)\nash (handle; hoops material)\npaint (exterior finish material)"", ""Measurements"": ""overall: 12 in x 14 1/8 in; 30.48 cm x 35.8775 cm\noverall: 10 1/4 in x 13 1/2 in; 26.035 cm x 34.29 cm""}"
