object_type,previous_action,new_action
"['medicine', 'syrup jar', 'jars', 'jar; pharmaceutical container']","Contain, store & preserve",Heal & care
"['mitts, pair of; handwear; accessories worn on the body; female', 'mitts, pair of']",Other,Dress & accessorize
"['mold, butter cheese, part of']",Other,"Eat, cook & drink"
"['mold, butter, handle']",Other,"Eat, cook & drink"
"['mold, gingerbread']",Other,"Eat, cook & drink"
"['mold, sugar']",Other,"Eat, cook & drink"
"['molds (shaping tools)', 'mold, butter cheese, part of']",Other,"Eat, cook & drink"
"['mortar; manufacturing & dispensing equip.', 'mortars (grinding tools)']",Other,Heal & care
"['muff; accessories carried; female', 'muffs']",Other,Dress & accessorize
['napkins'],Other,"Eat, cook & drink"
"['neckcloth; neckwear; accessories worn on the body; male', 'neckcloth']",Other,Dress & accessorize
"['neckcloth?; neckwear; accessories worn on the body; female', 'neckcloth?']",Other,Dress & accessorize
['oyster jar'],"Contain, store & preserve",Other
"['pan, baking']",Other,"Eat, cook & drink"
"['pan, frying']",Other,"Eat, cook & drink"
"['pendant; jewelry; accessories worn on the body; female', 'pendants (jewelry)']",Other,Dress & accessorize
['pendants (jewelry)'],Other,Dress & accessorize
['periodicals'],Other,"Read, write & record"
"['pestle; kitchen utensils', 'pestles']",Other,"Eat, cook & drink"
['pestles'],Other,Heal & care
"['photographs, set of']",Other,"Portray, display & decorate"
"['pitchers (vessels)', 'jars']","Contain, store & preserve",Heal & care
['pochette'],Other,Perform music
"['potsherds', 'sherds, pan, milk']",Other,"Eat, cook & drink"
"['printing presses', 'press, printing; printing; relief; flatbed platen']",Other,"Read, write & record"
['printing presses'],Other,"Read, write & record"
"['protractor', 'protractor and parallel rule', 'protractor; semi circular, with parallel rule']",Other,Measure & navigate
"['reamer, lemon', 'lemon reamer; kitchen utensils']",Other,"Eat, cook & drink"
['roasters (cookware)'],Other,"Eat, cook & drink"
['rugs'],Other,Decorate & furnish
['salt (inorganic material)'],Other,"Eat, cook & drink"
['saucers (plates)'],Other,"Eat, cook & drink"
"['shaker', 'casters (vessels)']",Other,"Eat, cook & drink"
['skimmers (culinary tools)'],Other,"Eat, cook & drink"
['snuffboxes'],Other,Smoke
['spatulas (culinary tools)'],Other,"Eat, cook & drink"
"['spigot', 'spigot; kitchen utensils']",Other,"Eat, cook & drink"
"['stamp, butter mold']",Other,"Eat, cook & drink"
"['stand, pickle', 'dish, sweetmeat']",Other,"Eat, cook & drink"
"['stand, roaster']",Other,"Eat, cook & drink"
"['stays; upper body; underwear; female', 'stays']",Other,Dress & accessorize
"['stays; upper body; underwear; girl', 'stays']",Other,Dress & accessorize
"['stick, pudding']",Other,"Eat, cook & drink"
"['strainers (culinary tools)', 'skimmers (culinary tools)']",Other,"Eat, cook & drink"
['striker box'],"Contain, store & preserve",Other
"['stud', 'stud; jewelry; accessories worn on the body; male']",Other,Dress & accessorize
"['stud, collar', 'stud, collar; jewelry; accessories worn on the body; male']",Other,Dress & accessorize
"['suit, 2 piece']",Other,Dress & accessorize
['sundial'],Other,Measure & navigate
"['syrup jar', 'jar; pharmaceutical container', 'jars']","Contain, store & preserve",Heal & care
"['syrup jar', 'jar; pharmaceutical container']","Contain, store & preserve",Heal & care
"['syrup jar', 'jars']","Contain, store & preserve",Heal & care
"['syrup jar', 'syrup jar', 'jars']","Contain, store & preserve",Heal & care
['syrup jar'],"Contain, store & preserve",Heal & care
"['syrup jar, pitcher', 'jars']","Contain, store & preserve",Heal & care
['telescope (spyglass)'],Other,Heal & care
['trunks (containers)'],"Contain, store & preserve",Other
['tureens'],Other,"Eat, cook & drink"
['type case'],"Contain, store & preserve",Other
"['umbrellas', 'umbrella; parasols; accessories carried; female']",Other,Dress & accessorize
"['umbrellas', 'umbrella; parasols; accessories carried; unknown', 'parasols']",Other,Dress & accessorize
"['undersleeves, pair of', 'undersleeves, pair of; armwear; accessories worn on the body; female']",Other,Dress & accessorize
['vases'],Other,"Eat, cook & drink"
"['vests (garments)', 'upper body', 'main garments']",Other,Dress & accessorize
"['vial; containers', 'vials']","Contain, store & preserve",Other
['viola'],Other,Perform music
"['walking stick; accessories carried; male', 'walking sticks']",Other,Dress & accessorize
"['watch paper', 'watch paper; male', 'accessories for the care of clothing']",Other,Dress & accessorize
"['weights', 'balances (scales)', 'balance set with weights']",Other,Measure & navigate
"['weights', 'weights (scale components)']",Other,Measure & navigate
"['worker, butter']",Other,"Eat, cook & drink"
['works of art'],Other,"Portray, display & decorate"
